CustomerID,ProductID,Rate,CreateDate
103416,619,1,2018/01/01 01:36:30
103654,411,1,2018/01/01 01:36:35
103954,298,3,2018/01/01 01:36:38
103672,361,5,2018/01/01 01:37:15
103960,536,5,2018/01/01 02:36:25
103372,481,2,2018/01/01 02:36:32
103444,132,1,2018/01/01 02:36:34
103831,41,1,2018/01/01 02:36:41
103541,498,5,2018/01/01 02:36:50
103819,155,4,2018/01/01 02:37:10
103566,447,2,2018/01/01 03:36:09
103806,310,4,2018/01/01 03:36:20
103726,260,4,2018/01/01 03:36:20
103651,388,5,2018/01/01 03:36:57
103629,547,4,2018/01/01 03:37:11
103672,52,5,2018/01/01 03:37:30
103377,468,5,2018/01/01 03:37:53
103910,266,1,2018/01/01 04:36:14
103911,120,5,2018/01/01 04:36:15
103629,634,4,2018/01/01 04:37:11
103544,62,5,2018/01/01 04:37:22
103641,414,4,2018/01/01 04:37:52
103728,112,5,2018/01/01 05:36:56
103676,180,4,2018/01/01 05:37:26
103356,473,1,2018/01/01 06:36:02
103463,436,1,2018/01/01 06:36:18
103430,669,2,2018/01/01 06:37:03
103545,78,5,2018/01/01 06:37:15
103660,485,1,2018/01/01 06:37:35
103577,548,2,2018/01/01 06:37:46
103894,215,4,2018/01/01 07:36:11
103643,445,1,2018/01/01 08:36:05
103846,294,1,2018/01/01 08:36:42
103651,280,5,2018/01/01 08:36:52
103350,368,5,2018/01/01 08:36:57
103653,371,2,2018/01/01 08:37:07
103453,72,3,2018/01/01 09:36:21
103954,72,2,2018/01/01 09:37:05
103653,493,2,2018/01/01 09:37:07
103970,546,3,2018/01/01 09:37:28
103765,523,5,2018/01/01 09:37:37
103510,490,4,2018/01/01 09:37:52
103831,42,4,2018/01/01 09:37:53
103514,447,1,2018/01/01 10:35:57
103523,329,5,2018/01/01 10:36:52
103618,610,2,2018/01/01 10:37:05
103643,54,1,2018/01/01 11:36:05
103911,425,2,2018/01/01 12:36:45
103838,148,5,2018/01/01 12:37:13
103391,114,4,2018/01/01 12:37:16
103488,403,1,2018/01/01 13:36:14
103703,186,5,2018/01/01 13:37:14
103506,137,5,2018/01/01 13:37:24
103590,113,1,2018/01/01 14:36:08
103521,471,4,2018/01/01 14:36:31
6,258,1,2018/01/01 14:36:35
103463,56,1,2018/01/01 14:36:42
103846,351,1,2018/01/01 14:36:42
103961,352,2,2018/01/01 14:37:07
103651,654,5,2018/01/01 14:37:22
103392,415,3,2018/01/01 14:37:32
103749,140,3,2018/01/01 14:37:33
103718,66,1,2018/01/01 14:37:43
103618,299,4,2018/01/01 15:37:18
103587,184,5,2018/01/01 15:37:55
103712,447,3,2018/01/01 17:36:01
103627,266,5,2018/01/01 17:36:15
103737,667,5,2018/01/01 17:37:14
103983,643,1,2018/01/01 18:36:34
103602,122,4,2018/01/01 18:37:26
103537,434,2,2018/01/01 18:37:36
23251,680,1,2018/01/01 19:36:04
103496,208,5,2018/01/01 19:36:07
103962,443,4,2018/01/01 19:36:27
103314,477,5,2018/01/01 20:36:06
103344,520,4,2018/01/01 20:36:11
103387,365,5,2018/01/01 20:36:14
103653,451,4,2018/01/01 20:36:16
103310,17,1,2018/01/01 20:36:18
103877,30,3,2018/01/01 20:36:21
103548,432,5,2018/01/01 20:36:25
103985,377,1,2018/01/01 20:36:36
103336,670,2,2018/01/01 20:37:05
14180,445,4,2018/01/01 20:37:19
103443,410,2,2018/01/01 21:35:58
103413,460,2,2018/01/01 21:36:00
103910,472,1,2018/01/01 21:36:14
103415,373,3,2018/01/01 21:36:19
103661,77,3,2018/01/01 21:36:59
103712,325,3,2018/01/01 22:36:01
103736,314,3,2018/01/01 22:37:00
103901,311,5,2018/01/01 22:37:23
103627,480,1,2018/01/01 23:36:07
103367,433,2,2018/01/01 23:37:08
103395,132,1,2018/01/01 23:37:35
103581,33,2,2018/01/02 01:35:58
103443,620,2,2018/01/02 01:35:58
103606,147,4,2018/01/02 01:36:11
103702,609,3,2018/01/02 01:36:39
103356,99,5,2018/01/02 02:36:06
103909,175,2,2018/01/02 02:36:44
103988,674,5,2018/01/02 02:36:52
103587,540,4,2018/01/02 02:37:51
103997,501,1,2018/01/02 03:36:04
103401,270,4,2018/01/02 03:36:27
103629,585,4,2018/01/02 03:37:11
103641,671,4,2018/01/02 03:37:52
103523,564,1,2018/01/02 03:38:00
103410,214,3,2018/01/02 04:36:01
103806,220,4,2018/01/02 04:36:20
103650,331,3,2018/01/02 04:37:28
103858,124,1,2018/01/02 05:36:36
103883,597,2,2018/01/02 05:36:49
103602,393,4,2018/01/02 06:37:26
103718,349,5,2018/01/02 06:37:30
103623,604,1,2018/01/02 07:36:04
103383,690,3,2018/01/02 07:37:32
103821,293,1,2018/01/02 07:37:59
103670,190,2,2018/01/02 08:35:59
103741,649,3,2018/01/02 08:36:02
103512,548,3,2018/01/02 08:36:22
103466,258,4,2018/01/02 08:36:38
103831,173,1,2018/01/02 08:36:41
103490,405,5,2018/01/02 08:37:29
103811,213,3,2018/01/02 08:37:40
103654,426,1,2018/01/02 09:36:35
103728,366,2,2018/01/02 09:37:06
103845,383,4,2018/01/02 09:37:17
103820,379,1,2018/01/02 09:37:20
103676,319,3,2018/01/02 10:36:01
103806,92,5,2018/01/02 10:36:06
103566,81,2,2018/01/02 10:36:09
103653,397,1,2018/01/02 10:36:13
6,424,1,2018/01/02 10:36:35
103648,311,5,2018/01/02 10:36:42
103909,370,2,2018/01/02 10:36:44
103676,192,1,2018/01/02 10:37:35
103834,629,4,2018/01/02 10:37:51
103834,559,4,2018/01/02 10:37:55
103641,683,5,2018/01/02 10:37:58
103403,8,4,2018/01/02 11:36:32
103959,37,2,2018/01/02 11:36:49
103954,592,2,2018/01/02 11:36:49
103873,17,3,2018/01/02 12:36:39
103367,598,5,2018/01/02 12:37:46
103834,228,4,2018/01/02 12:37:55
103401,334,4,2018/01/02 13:36:27
103505,359,4,2018/01/02 13:36:31
103618,688,4,2018/01/02 13:37:18
103548,378,5,2018/01/02 14:36:25
103403,55,3,2018/01/02 14:37:39
103582,233,1,2018/01/02 14:37:42
103523,5,5,2018/01/02 14:37:54
103678,295,5,2018/01/02 15:36:57
103709,501,3,2018/01/02 15:37:26
103821,256,1,2018/01/02 15:37:35
103655,280,3,2018/01/02 15:37:40
103991,394,5,2018/01/02 16:36:07
103587,479,3,2018/01/02 16:36:59
103367,507,1,2018/01/02 16:37:20
103403,320,3,2018/01/02 16:37:39
103463,11,1,2018/01/02 17:36:18
103490,62,4,2018/01/02 17:36:32
103639,533,4,2018/01/02 17:37:17
103394,120,3,2018/01/02 17:37:40
103865,288,2,2018/01/02 17:37:46
103730,262,2,2018/01/02 18:35:58
103639,636,1,2018/01/02 18:36:36
103393,389,1,2018/01/02 19:36:35
103796,113,5,2018/01/02 19:36:43
103737,611,5,2018/01/02 19:37:14
103901,167,5,2018/01/02 19:37:23
103907,247,4,2018/01/02 19:37:51
103758,253,5,2018/01/02 19:37:57
103910,331,1,2018/01/02 20:36:14
103628,243,4,2018/01/02 20:36:48
103958,614,3,2018/01/02 21:37:27
103596,162,4,2018/01/02 21:37:50
103491,455,4,2018/01/02 22:36:21
103890,533,5,2018/01/02 22:36:52
103683,531,3,2018/01/02 23:36:00
103367,565,5,2018/01/02 23:36:15
103858,453,1,2018/01/02 23:36:36
103336,10,2,2018/01/02 23:37:06
103524,555,4,2018/01/02 23:37:09
103413,275,2,2018/01/03 01:36:00
103865,289,5,2018/01/03 01:36:25
103873,234,4,2018/01/03 02:36:20
103728,84,2,2018/01/03 02:37:06
103372,327,3,2018/01/03 02:37:39
103898,538,4,2018/01/03 03:36:31
103463,251,2,2018/01/03 03:36:33
103532,45,5,2018/01/03 03:36:51
103544,638,5,2018/01/03 03:37:22
103834,401,4,2018/01/03 03:37:55
103560,665,5,2018/01/03 04:36:25
103971,678,5,2018/01/03 04:36:55
103605,201,5,2018/01/03 04:36:57
103653,222,2,2018/01/03 04:37:07
103676,44,3,2018/01/03 05:36:01
103384,571,1,2018/01/03 05:36:26
103463,110,2,2018/01/03 05:36:33
103836,79,5,2018/01/03 05:37:49
103812,613,1,2018/01/03 06:36:03
103596,315,2,2018/01/03 06:37:08
103907,179,5,2018/01/03 06:37:48
103523,603,1,2018/01/03 06:38:00
103852,491,4,2018/01/03 07:36:12
103960,11,2,2018/01/03 08:35:59
103566,410,2,2018/01/03 09:36:09
103629,57,5,2018/01/03 09:37:54
103456,395,1,2018/01/03 10:36:05
103717,472,4,2018/01/03 10:36:16
103509,202,5,2018/01/03 10:36:55
103403,99,5,2018/01/03 10:36:56
103503,579,1,2018/01/03 11:36:05
103829,383,4,2018/01/03 11:36:31
103308,93,5,2018/01/03 11:37:14
103510,174,4,2018/01/03 11:37:52
103436,594,5,2018/01/03 12:36:06
103394,597,5,2018/01/03 12:37:53
103758,238,5,2018/01/03 13:37:57
103350,448,1,2018/01/03 14:36:03
103441,393,5,2018/01/03 14:36:58
103545,508,5,2018/01/03 14:37:15
103707,100,3,2018/01/03 14:37:28
103629,419,5,2018/01/03 14:37:58
103954,214,3,2018/01/03 15:36:38
103845,188,4,2018/01/03 15:37:11
103770,216,5,2018/01/03 16:36:43
13874,220,4,2018/01/03 18:37:16
103496,559,3,2018/01/03 18:37:38
103653,125,5,2018/01/03 19:36:06
103453,148,3,2018/01/03 19:36:21
103776,82,2,2018/01/03 19:36:44
103695,518,1,2018/01/03 19:37:00
103596,217,1,2018/01/03 19:37:02
103825,62,4,2018/01/03 19:37:18
103359,494,4,2018/01/03 20:36:13
103401,133,4,2018/01/03 20:36:27
103336,46,2,2018/01/03 20:37:05
103544,418,5,2018/01/03 20:37:37
103606,314,5,2018/01/03 20:37:49
103594,143,5,2018/01/03 21:36:14
103382,505,4,2018/01/03 21:36:37
